filer,filingYear,sourceName,address,businessActivity,position,grossIncome,consideration,saleOf,commissionOrRentalIncomeDescription,otherDescription,formUrl,legislatorGlassHouseUrl
Josh Lowenthal,2022,Naples Restaurant Group (dba Boathouse on the Bay),"194 N Marina Dr, Suite 200 Long Beach CA 90803",Food Service,partner,"$10,001 - $100,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/210101b1-fc1d-4a6b-b2d2-e95f5e3c8241.pdf,https://calmatters.org/legislator-tracker/josh-lowenthal-1970
Josh Lowenthal,2022,"UVNV Inc, (dba Mint Mobile)","1550 Scenic Ave #100, Costa Mesa CA 92626",Telecommunications,General Manager,"Over $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/210101b1-fc1d-4a6b-b2d2-e95f5e3c8241.pdf,https://calmatters.org/legislator-tracker/josh-lowenthal-1970
Josh Lowenthal,2023,500 PCH Holdings LLC dba Patty's Place,"500 PACIFIC COAST HIGHWAY STE 104 SEAL BEACH,CA90740",Food Service,Partner,"$10,001 - $100,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/18fdabf2-36ac-490f-81ea-791cd5beb3f4.pdf,https://calmatters.org/legislator-tracker/josh-lowenthal-1970
Josh Lowenthal,2023,Naples Restaurant Group (dba Boathouse on the Bay),"194 N Marina Dr, Suite 200 Long Beach CA 90803",Food Service,Partner,"$10,001 - $100,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/18fdabf2-36ac-490f-81ea-791cd5beb3f4.pdf,https://calmatters.org/legislator-tracker/josh-lowenthal-1970
Brian Maienschein,2021,Sharp HealthCare,8695 Spectrum Center Blvd,Healthcare,None,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f106369a-a14b-4333-9cd5-fa54f385b802.pdf,https://calmatters.org/legislator-tracker/brian-maienschein-1969
Brian Maienschein,2022,Sharp HealthCare,8695 Spectrum Center Blvd,Healthcare,None,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/b11a56c6-0a54-494f-9605-a51401821a8f.pdf,https://calmatters.org/legislator-tracker/brian-maienschein-1969
Brian Maienschein,2022,University of San Diego School of Law,"5998 Alcala Park, San Diego, CA 92110",University,Adjunct Professor,"$1,001 - $10,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/b11a56c6-0a54-494f-9605-a51401821a8f.pdf,https://calmatters.org/legislator-tracker/brian-maienschein-1969
Brian Maienschein,2023,Sharp Healthcare,8695 Spectrum Center Blvd,Healthcare,None ,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4fd8fa59-ce21-41ad-af4b-1a5ceef33d45.pdf,https://calmatters.org/legislator-tracker/brian-maienschein-1969
Brian Maienschein,2023,University of San Diego School of Law,"5998 Alcala Park, San Diego, CA 92110",University ,Adjunct Professor,"$1,001 - $10,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4fd8fa59-ce21-41ad-af4b-1a5ceef33d45.pdf,https://calmatters.org/legislator-tracker/brian-maienschein-1969
Mike McGuire,2021,Sale of real property,"426 North Street, #14, Healdsburg, CA",,owner,"Over $100,000",Sale of,real property,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/dd788e9b-7f2f-478c-9028-a51c593738cb.pdf,https://calmatters.org/legislator-tracker/mike-mcguire-1979
Tina McKinnor,2022,LA Voice,"3660 Willshire Blvd. Ste. 602, LA, CA. 90010",Social Welfare,Civic Engagement Director,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/a1e2fb48-290c-4026-a27e-a0a3df31840b.pdf,https://calmatters.org/legislator-tracker/tina-mckinnor-1964
Caroline Menjivar,2022,Kaiser Permanente,"1505 Edgemont Street, Los Angeles, CA 90027",Mental Health Services,Mental Health Therapist,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/2c9b5350-1fa8-497f-8bcd-28de70d7e0e7.pdf,https://calmatters.org/legislator-tracker/caroline-menjivar-1989
Caroline Menjivar,2022,Mental Health & Family Support Services,"7038 Owensmouth Avenue, Canoga Park CA 91303",Mental Health Services,Mental Health Therapist,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/2c9b5350-1fa8-497f-8bcd-28de70d7e0e7.pdf,https://calmatters.org/legislator-tracker/caroline-menjivar-1989
Caroline Menjivar,2023,Octave,"10990 Wilshire Blvd., #250, Los Angeles, CA 90024",Mental Health Services,Mental Health Therapist,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/db5c354d-4191-41ca-b4e0-3bfca4f44b2d.pdf,https://calmatters.org/legislator-tracker/caroline-menjivar-1989
Janet Nguyen,2022,Virus Geeks,252 Michelle Ct,Biotech Health,Director of Operations,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/49a2cfd6-68fa-452e-a018-1819b42b1137.pdf,https://calmatters.org/legislator-tracker/janet-nguyen-1976
Stephanie Nguyen,2022,"Asian Resources, Inc",6270 Elder Creek Rd Sacramento 95824,Non Profit,Executive Director,"Over $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/6a9dd7e3-1eed-4a44-9a2c-f6597977c75b.pdf,https://calmatters.org/legislator-tracker/stephanie-nguyen-1979
Stephanie Nguyen,2022,Highlands Adult Community Charter School,1333 Grand Avenue Sacramento 95838,Adult Education,Consultant,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/6a9dd7e3-1eed-4a44-9a2c-f6597977c75b.pdf,https://calmatters.org/legislator-tracker/stephanie-nguyen-1979
Stephanie Nguyen,2023,Asian Resources Inc,"5720 Elder Creek Rd, Sacramento, CA 95824",Consultant,Consultant,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/eef852c5-4386-4dcf-a49a-443deffd4ab4.pdf,https://calmatters.org/legislator-tracker/stephanie-nguyen-1979
Stephanie Nguyen,2023,City of Elk Grove,"8401 Laugna Palms Way, ELk Grove, CA 95758",Police Officer,Sargeant,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/eef852c5-4386-4dcf-a49a-443deffd4ab4.pdf,https://calmatters.org/legislator-tracker/stephanie-nguyen-1979
Roger Niello,2022,Carson Dominguez Properties,"100 Bayview Circle, Ste 3500, Newport Beach, CA, 92660",Real estate investments,Partner,"Over $100,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/58c54d9b-1f38-4479-b1b4-787462c9d8dc.pdf,https://calmatters.org/legislator-tracker/roger-niello-1948
Roger Niello,2023,Carson Dominguez Properties ,"100 Bayview Circle, Ste 3500, Newport Beach, CA, 92660",Real estate investments,Partner,"Over $100,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://calmatters.org/legislator-tracker/roger-niello-1948
Roger Niello,2023,Moneta Ventures Fund II,"785 Orchard Dr., Suite 150, Folsom, CA, 95630",Venture Fund,"Limited Partner, Investor","$10,001 - $100,000",Other,,,Return of capital,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://calmatters.org/legislator-tracker/roger-niello-1948
Roger Niello,2023,Northern Ca. Investment Fund I,"c/o Jon Gregory, P.O. Box 5280, Chico, CA, 95927",Venture Fund,"Limited Partner, Investor","$1,001 - $10,000",Other,,,Return of capital,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://calmatters.org/legislator-tracker/roger-niello-1948
Roger Niello,2023,Northern Ca. Investment Fund II,same as Fund I,Venture Fund,"Limited Partner, Investor","$1,001 - $10,000",Other,,,Return of capital,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0bfec8b8-61e1-47fa-bf2a-dede274b498b.pdf,https://calmatters.org/legislator-tracker/roger-niello-1948
Rosilicie Ochoa,2021,City of Yucaipa,"34272 Yucaipa Blvd., Yucaipa",,,"$1,001 - $10,000",Other,,,Spouse's Stipend (Councilmember),https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/16a68387-62e6-4a4f-9bb1-7b08cbf8917a.pdf,https://calmatters.org/legislator-tracker/rosilicie-ochoa
Rosilicie Ochoa,2022,City of Yucaipa,"34272 Yucaipa Blvd, Yucaipa, CA 92399",,,"$1,001 - $10,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/3e537455-5059-4cf4-a96c-a4753a66c565.pdf,https://calmatters.org/legislator-tracker/rosilicie-ochoa-bogh-1972
Rosilicie Ochoa,2023,Yucaipa Valley Water District,"12770 Second Street, Yucaipa, CA 92399",Water,My husband is a water board member,"$10,001 - $100,000",Other,,,Spouse's Stipend (Board Member),https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/bf4ba3ef-f2d6-496a-a648-cf9855ea6dea.pdf,https://calmatters.org/legislator-tracker/rosilicie-ochoa-bogh-1972
Elizabeth Ortega,2022,Alameda Labor Council,7750 Pardee Avenue,Union,Executive Secretary - Treasurer,"Over $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6e849aa-4953-42f1-815b-5e52ccb95a1a.pdf,https://calmatters.org/legislator-tracker/liz-ortega-1977
Elizabeth Ortega,2022,La Familia,"1558 B Street, #200",Non-Profit,Director,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6e849aa-4953-42f1-815b-5e52ccb95a1a.pdf,https://calmatters.org/legislator-tracker/liz-ortega-1977
Elizabeth Ortega,2023,Tri-CED Community Recycling,"33377 Western Ave. Union City, CA 94587",Nonprofit,CEO,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/8db4ecb8-dba0-4e3c-be47-84a443b89636.pdf,https://calmatters.org/legislator-tracker/liz-ortega-1977
Blanca Pacheco,2022,Olivarez Madruga Law Organization LLP ,"500 South Grand Ave., 12th Floor, Los Angeles 9006 ",Law Firm,Associate Attorney,"$1,001 - $10,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/69d99aab-08de-44d9-8bf2-77e5415a8747.pdf,https://calmatters.org/legislator-tracker/blanca-pacheco-1974
Richard Pan,2021,Florida Chapter American Academy of Pediatrics,"1400 Village Square Blvd, #3-87786 Tallahassee",professional association,speaker,"$500 - $1,000",,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ab885a81-6192-43da-a7e4-edbf976d5965.pdf,https://calmatters.org/legislator-tracker/richard-pan
Richard Pan,2021,Inova Children's Hospital,"3300 Gallows Rd, Falls Church, VA 22042",Hospital,speaker,"$500 - $1,000",,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ab885a81-6192-43da-a7e4-edbf976d5965.pdf,https://calmatters.org/legislator-tracker/richard-pan
Jim Patterson,2021,Prison Fellowship,"4840 N First Street, #101, Fresno, CA 93726",501(c)(3),"none, spouse's employer","$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/60305648-173b-4e67-9afc-b5ab9ced58a2.pdf,https://calmatters.org/legislator-tracker/jim-patterson-1948
Jim Patterson,2022,Prison Fellowship,"4840 N First Street, #101, Fresno, CA 93726 ",501(c)(3),"none, spouse's employer","$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/0414e74b-b258-4b4d-a6d0-82728563027f.pdf,https://calmatters.org/legislator-tracker/jim-patterson-1948
Jim Patterson,2023,Prison Fellowship,"4840 N First Street, #101, Fresno, CA 93726",501(c)(3),"none, spouse's employer","$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/59f95b54-d903-4d2f-b726-02f2eda622fc.pdf,https://calmatters.org/legislator-tracker/jim-patterson-1948
Joe Patterson,2022,"Apple, Inc Shares","1 Infinite Loop, Cupertino, CA 95014",consumer electronics,spouse ,"$10,001 - $100,000",Sale of,shares of Apple,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/b2885dbc-e469-4c2a-8822-e630069a6fee.pdf,https://calmatters.org/legislator-tracker/joe-patterson-1982
Joe Patterson,2022,"Apple, Inc.","1 Infinite Loop, Cupertino, CA 95014",consumer electronics and software,spouse - corporate recruiter,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/b2885dbc-e469-4c2a-8822-e630069a6fee.pdf,https://calmatters.org/legislator-tracker/joe-patterson-1982
Joe Patterson,2023,"Apple, Inc Shares","1 Infinite Loop, Cupertino, CA 95014 ",consumer electronics ,spouse,"$1,001 - $10,000",Sale of,Shares of Apple,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e5f7b230-b78a-4637-ab7e-bb6db885564b.pdf,https://calmatters.org/legislator-tracker/joe-patterson-1982
Joe Patterson,2023,"Apple, Inc.","1 Infinite Loop, Cupertino, CA 95014",consumer electronics and software ,spouse - corporate recruiter,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e5f7b230-b78a-4637-ab7e-bb6db885564b.pdf,https://calmatters.org/legislator-tracker/joe-patterson-1982
Cottie Petrie-Norris,2021,Comcast,"5300 California Avenue, Irvine, 92612",media,"Senior VP, Xumo","Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/36e170ab-ae7d-4407-ae12-2abc52074bb0.pdf,https://calmatters.org/legislator-tracker/cottie-petrie-norris-1975
Cottie Petrie-Norris,2022,Comcast,"5300 California Avenue, Irvine, 92612",Media,"Senior VP, Xumo","Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/303e4b7c-59d7-41b8-b48f-9d93d1683f16.pdf,https://calmatters.org/legislator-tracker/cottie-petrie-norris-1975
Cottie Petrie-Norris,2022,Sale of rental property,"76 Grandison Road, London UK",,owner,"Over $100,000",Sale of,rental property,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/303e4b7c-59d7-41b8-b48f-9d93d1683f16.pdf,https://calmatters.org/legislator-tracker/cottie-petrie-norris-1975
Cottie Petrie-Norris,2023,Comcast,"5300 California Avenue, Irvine, 92612",Media,"Senior VP, Xumo","Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/1d58ae76-58d1-44dc-a00f-1dce8f2ec9ca.pdf,https://calmatters.org/legislator-tracker/cottie-petrie-norris-1975
Cottie Petrie-Norris,2023,Sale of rental property,"76 Grandison Road, London UK",,owner,"Over $100,000",Sale of,rental property,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/1d58ae76-58d1-44dc-a00f-1dce8f2ec9ca.pdf,https://calmatters.org/legislator-tracker/cottie-petrie-norris-1975
Anthony Portantino,2021,AllSourcePPS,16371 Beach Blvd #141 Huntington Beach CA 92647,Staffing Agency for Universal Brand Development,Contract Term Licensing Sr. Manager /Spouse,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4185c0d0-eea8-4294-9232-54a380d3895a.pdf,https://calmatters.org/legislator-tracker/anthony-portantino-1961
Anthony Portantino,2021,Ellen Portantino Organizing LLC,4612 La Canada Blvd. La Canada CA 91011,Proffessional Services,Sole Owner/ Spouse,"$1,001 - $10,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4185c0d0-eea8-4294-9232-54a380d3895a.pdf,https://calmatters.org/legislator-tracker/anthony-portantino-1961
Anthony Portantino,2021,State of California,"State Capitol Sacramento, CA 95814",State Government,State senate,"Over $100,000",,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4185c0d0-eea8-4294-9232-54a380d3895a.pdf,https://calmatters.org/legislator-tracker/anthony-portantino-1961
Anthony Portantino,2021,Warner Brothers Consumber Prouducts,"4000 Warner Blvd Burbank, CA 91522",Entertainment/Consumer Products,Director/Spouse,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4185c0d0-eea8-4294-9232-54a380d3895a.pdf,https://calmatters.org/legislator-tracker/anthony-portantino-1961
Anthony Portantino,2022,All Source PPS,106371 Beach Blvd. #141 Huntington Beach CA 9264,Staffing Agency For Universal Brand Development,,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/05f12a2f-1fe0-462a-a1d1-2051270c8eb8.pdf,https://calmatters.org/legislator-tracker/anthony-portantino-1961
Anthony Portantino,2022,NBC Universal ,100 Universal City Plaza Universal City CA 91608,Entertainment / Consumber Proudcts / Theme Parks,,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/05f12a2f-1fe0-462a-a1d1-2051270c8eb8.pdf,https://calmatters.org/legislator-tracker/anthony-portantino-1961
Anthony Portantino,2022,State of California,State Capitol Sacramento CA 95814,State Government,State Senator,"Over $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/05f12a2f-1fe0-462a-a1d1-2051270c8eb8.pdf,https://calmatters.org/legislator-tracker/anthony-portantino-1961
Anthony Portantino,2023,NBC Universal,100 Universal City Plaza Universal City CA 91608,Entertainment/Consumer Products/Theme Parks,,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/080f6de3-a1cb-4297-8029-f182505c854c.pdf,https://calmatters.org/legislator-tracker/anthony-portantino-1961
Anthony Portantino,2023,State of California,"State Capitol Sacramento, CA 95814",State Government,State Senator,"Over $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/080f6de3-a1cb-4297-8029-f182505c854c.pdf,https://calmatters.org/legislator-tracker/anthony-portantino-1961
Sharon Quirk-Silva,2021,Ortega Strategies Group,"1370 N Brea Blvd, Ste. 235, Fullerton, CA 92835",Consulting,Consultant,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/522baee5-338f-48ec-b30b-a0da9571ccd7.pdf,https://calmatters.org/legislator-tracker/sharon-quirk-silva-1962
Sharon Quirk-Silva,2022,Ortega Strategies Group,"1370 N Brea Blvd, Ste 235, Fullerton, CA 92835",Consluting,Consultant,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/98fdb13d-8ab7-4b17-a7c4-a731d527cede.pdf,https://calmatters.org/legislator-tracker/sharon-quirk-silva-1962
Sharon Quirk-Silva,2023,Fullerton School District,"1401 W Valencia Dr, Fullerton, CA 92833",Education,Teacher,"Over $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/1092e8b0-fc75-47f0-ade8-60faa9f7c81d.pdf,https://calmatters.org/legislator-tracker/sharon-quirk-silva-1962
James Ramos,2021,San Manuel Band of Serrano Mission Indians,"26569 Community Center Drive Highland, CA 92346",,,"Over $100,000",Other,,,per Capita Tribal Distribution,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4eb55a9a-0a74-4d2a-aeff-babd3304ce84.pdf,https://calmatters.org/legislator-tracker/james-ramos-1967
James Ramos,2022,San Manuel Band of Serrano Mission Indians,"26569 Community Center Drive Highland, CA 92346 ",American Indian Tribe,,"Over $100,000",Other,,,Per Capita Tribal Distribution,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9f5d8a80-aa3c-47a4-bea3-ad2c68fa5b8b.pdf,https://calmatters.org/legislator-tracker/james-ramos-1967
James Ramos,2023,San Manuel Band of Serrano Mission Indians,"26569 Cormunity Center Drive Highland, CA 92346",American Indian Tribe,,"Over $100,000",Other,,, Per Capita Tribal Distribution,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/cea2cc69-9491-4d17-a226-153bec4175ab.pdf,https://calmatters.org/legislator-tracker/james-ramos-1967
Robert Rivas,2021,"Denham Plastics, LLC","1057 Pellet Ave, Salinas, CA 93908",Plastic material provider,Spouse's Income,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/7be4a386-549c-4b12-83c8-49ba9d3876b0.pdf,https://calmatters.org/legislator-tracker/robert-rivas-1980
Robert Rivas,2022,"Denham Plastics, LLC","1057 Pellet Ave, Salinas, CA 93908",Plastic material provider,Spouse's Salary,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/3e9240cc-9a86-48e0-8fb7-ef19bbda85fb.pdf,https://calmatters.org/legislator-tracker/robert-rivas-1980
Robert Rivas,2023,"Denham Plastics, LLC","1057 Pellet Ave., Salinas, CA 93908",Plastic Material Provider,Spouse's Salary,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/1cb1ef04-a305-4ff1-b3b3-242ab1edb455.pdf,https://calmatters.org/legislator-tracker/robert-rivas-1980
Richard Roth,2021,GREATER RIVERSIDE CHAMBERS OF COMMERC,"3985 UNIVERSITY AVENUE, RIVERSIDE CA 92504",CHAMBER OF COMMERCE,,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e05ec567-552d-4a02-b9ff-6c4758192b85.pdf,https://calmatters.org/legislator-tracker/richard-roth
Richard Roth,2022,Greater Riverside Chambers of Commerce,"3985 University Ave., Riverside CA 92501",Chamber of Commerce,,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/3d82d870-965d-41bc-873a-17bcbda23c38.pdf,https://calmatters.org/legislator-tracker/richard-roth-1950
Blanca Rubio,2022,AT & T,2700 Watt Ave Sacramento CA 95821,Telecommunications,Sale System Engineer 4,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5eb35d94-53c5-4fd9-9d8d-5ff19e0ce2fb.pdf,https://calmatters.org/legislator-tracker/blanca-rubio-1969
Kate Sanchez,2022,American Ground Transportation,"1767 N Batavia Street, Orange, CA 92865",,,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e46ea0da-44ee-4410-96d0-3598567b864f.pdf,https://calmatters.org/legislator-tracker/kate-sanchez-1988
Kate Sanchez,2023,State of California,"1315 10th St, Sacramento, CA 95814",,Assembly Member,"Over $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4be69905-c6be-4854-8863-c3468e6af009.pdf,https://calmatters.org/legislator-tracker/kate-sanchez-1988
Miguel Santiago,2022,YMCA of Metropolitan Los Angeles,"4301 West 3rd Street, Los Angeles, CA 90020",Non-profit,Chief Development Officer,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d8106c19-5f44-4f59-b172-6ccc2e75fd68.pdf,https://calmatters.org/legislator-tracker/miguel-santiago-1973
Miguel Santiago,2023,YMCA of Metropolitan Los Angeles,"4301 West 3rd Street, Los Angeles, CA 90020",Non-profit,Chief Development Officer,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/1bc84844-2e5c-4d19-959b-2684147df538.pdf,https://calmatters.org/legislator-tracker/miguel-santiago-1973
Lola Smallwood-Cuevas,2023,Mexican American Opportunity Foundation,"401 N. Garfield Avenue Montebello, CA 90640",Non-profit,Employee,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d7a9321e-702e-48ac-aae1-5416b775afc2.pdf,https://calmatters.org/legislator-tracker/lola-smallwood-cuevas-1970
Esmeralda Soria,2022,Fresno City College (State Center Community College District),"1101 E University Fresno, CA 93741",Education,Adjunct Professor,"$1,001 - $10,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/8fa30295-bc17-45b5-a2ab-8966d83bec57.pdf,https://calmatters.org/legislator-tracker/esmeralda-soria-1982
Esmeralda Soria,2023, Central Valley Community Sports Foundation,"3950 N Cedar Ave, Fresno, CA 93726",Non-Profit,President,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/3450a2f5-219e-468b-aece-3b90b0afbf9e.pdf,https://calmatters.org/legislator-tracker/esmeralda-soria-1982
Tri Ta,2022,CVS Pharmacy,"Seal Beach, CA 90740",Pharmacy business,Pharmacist,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/fb1526de-149b-42ba-99f9-008b96a1b21b.pdf,https://calmatters.org/legislator-tracker/tri-ta-1973
Tri Ta,2022,T-Ways,"14101 Pacific Ave., Westminster, CA 92683",Translation business,Owner,"$1,001 - $10,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/fb1526de-149b-42ba-99f9-008b96a1b21b.pdf,https://calmatters.org/legislator-tracker/tri-ta-1973
Tri Ta,2023,CVS Pharmacy,"Long Beach, CA 90803",Pharmacy business,Pharmacist,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/19996954-77cb-4355-bd9b-91cca6ff9f8c.pdf,https://calmatters.org/legislator-tracker/tri-ta-1973
Tri Ta,2023,T-Ways,"14101 Pacific Ave., Westminster, CA 92683",Translation business,Owner,"$1,001 - $10,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/19996954-77cb-4355-bd9b-91cca6ff9f8c.pdf,https://calmatters.org/legislator-tracker/tri-ta-1973
